" ","","WT.","PACK",""," ","","WT.","                   PACK",""
"ORDER QTY","DORITOS","OZ","UPC","CASE","ORDER QTY","SANTITAS","OZ","UPC","CASE"
"","DORITOS COOL RANCH ","10.0","FL-64132","7.0","","XL SANTITAS WHITE CORN TRIANGLES","16.0","FL-01186","8.0"
"","DORITOS NACHO CHEESE","10.0","FL-64203","7.0","","XL SANTITAS BLENDED TRIANGLE","16.0","FL-01149","8.0"
"","DORITOS TACO","10.0","FL-64191","7.0","","LOS COCINA DE JOSEFINA","15.0","FL-24349","8.0"
"","DORITOS SPICY NACHO ","10.0","FL-64204","7.0","","","","",""
"","DORITOS SPICY SWEET CHILI","10.0","FL-64225","7.0","","TOSTITOS","","",""
"","DORITOS TAPATIO","10.0","FL-64205","7.0","","TOSTITOS SCOOPS ","10.0","FL-06408","7.0"
"","DORITOS JACKED RANCH HOT WINGS","9.5","FL-64226","7.0","","TOSTITOS RESTAURANT STYLE","13.0","FL-06399","5.0"
"","DORITOS POPPIN' JALAPEÑO","9.75","FL-66655","7.0","","TOSTITOS BITE SIZED ROUND","13.0","FL-06405","7.0"
"","DORITOS DINAMITA CHILE LIMÓN","11.25","FL-65555","8.0","","TOSTITOS HINT OF LIME","13.0","FL-06404","5.0"
"","DORITOS BLAZE","9.75","FL-92334","7.0","","TOSTITOS BLACK BEAN & GARLIC","10.0","FL-05313","7.0"
"","DORITOS FLAMIN' HOT NACHOS","9.75","FL-19924","7.0","","TOSTITOS ROASTED RED PEPPER","10.0","FL-05310","7.0"
"","CHEETOS","","","","","TOSTITOS SALSA RANCHERA","12.5","FL-05410","7.0"
"","CHEETOS JUMBO PUFFS","8.0","FL-59668","10.0","","TOSTITOS HINT OF JALAPENO","13.0","FL-61444","5.0"
"","CHEETOS CRUNCHY ","8.5","FL-58986","8.0","","","","",""
"","CHEETOS CHED. JALAPENO","8.5","FL-58988","8.0","","","","",""
"","CHEETOS FLAMIN' HOT CRUNCHY","8.5","FL-58989","8.0","","CANTINA - TRADITIONAL","12.0","FL-11895","4.0"
"","CHEETOS PAWS","7.5","FL-63801","12.0","","CANTINA - THIN & CRISPY","9.0","FL-11688","5.0"
"","","","","","","","","",""
"","","","","","","VARIETY PAKS","","",""
"","FRITOS"," "," "," ","","18 CT. FLAVOR SACK","18.0","FL-15443","6.0"
"","FRITOS ORIGINAL","9.25","FL-58929","10.0","","18 CT. CLASSIC SACK","18.0","FL-15440","6.0"
"","FRITOS HONEY BBQ TWISTS ","9.25","FL-58927","10.0","","18 CT. FAMILY FUN MIX","18.0","FL-15463","6.0"
"","FRITOS CHILI CHEESE","9.25","FL-58928","10.0","","18 CT. DORITOS / CHEETOS SACK","18.0","FL-15446","6.0"
"","FRITOS SCOOPS","9.25","FL-58932","10.0","","18 CT. FIERY MIX","18.0","FL-15447","6.0"
"","FRITOS FLAMIN HOT","9.25","FL-58931","10.0","","18 CT. SMARTFOOD MIX","18.0","FL-15455","6.0"
"","FRITOS SPICY JALAPENO","9.25","FL-63483","10.0","","28 CT. PARTY MIX CUBE","28.0","FL-15586","3.0"
"","","","","","","28 CT. FUN TIMES MIX CUBE","28.0","FL-15583","3.0"
"","FAMILY SIZE LAYS"," "," "," ","","","","",""
"","FS LAYS REGULAR","10.25","FL-64549","9.0","","","","",""
"","FS LAYS BBQ","9.75","FL-64524","10.0","","KETTLE COOKED"," "," "," "
"","FS LAYS SOUR CREAM & ONION","9.75","FL-64641","10.0","","KETTLE COOKED JALAPENO ","8.0","FL-37185","14.0"
"","FS WAVY LAYS","9.5","FL-04389","11.0","","KETTLE COOKED MAUI ONION","8.0","FL-37215","14.0"
"","FS LIGHTLY SALTED LAYS","9.5","FL-64644","10.0","","KETTLE COOKED SALT & VINEGAR","8.0","FL-37216","14.0"
"","","","","","","KETTLE COOKED BBQ","8.0","FL-37218","14.0"
"","","","","","","KETTLE COOKED HONEY CHIPOTLE","8.0","FL-01530","14.0"
"","XL LAYS","","","","","KETTLE COOKED ORIGINAL ","8.0","FL-37219","14.0"
